  N  P   K  Soil_pH  Soil_Moisture  Organic_Carbon  Temperature  Humidity  Rainfall  Sunlight_Hours  Wind_Speed Crop_Type  Crop_Yield_ton_per_hectare
 81 75 106     6.89          46.22            0.64        28.14     46.70    996.48            8.13        4.75     Maize                        9.68
177 78  32     7.31          41.91            0.77        29.54     54.13    464.37            4.01        2.03 Sugarcane                       72.62
143 83  26     7.26          53.82            0.58        35.83     38.84   1965.04            8.24        7.16      Rice                       13.14
 43 54  51     7.50          30.04            1.21        23.32     75.26   1954.61            8.04        5.77     Maize                       10.49
139 89  42     5.60          15.41            0.80        21.04     30.90   2440.60            4.32        4.37     Maize                        9.17
 82 15  66     6.06          24.27            0.89        32.87     30.17    699.31            7.66        5.38      Rice                        7.54
108 79  48     6.10          25.55            1.18        18.92     61.26   2510.69            9.84       11.94     Wheat                        9.53
 51 76  42     8.05          29.57            1.11        19.84     50.65   2285.89            6.10       12.71    Potato                       25.29
 59 68  57     6.19          33.52            1.31        21.43     38.63    568.16            9.73       16.78      Rice                        8.43
 33 74 146     5.55          50.33            1.27        35.69     73.38   2756.00            7.10        4.58    Cotton                        7.35
 88 60  63     6.95          18.71            0.87        33.37     85.92    397.63            9.89        2.72      Rice                        6.05
 37 19  24     6.25          39.33            0.55        18.74     46.84   2287.05            7.30        2.00    Potato                       25.34
 41 36  59     5.65          39.93            0.59        14.31     66.16   1371.36           10.31        9.38     Wheat                        9.28
148 67  97     7.23          45.79            1.22        21.78     74.69   2463.43           10.40       11.98 Sugarcane                       74.09
 63 84 125     5.45          30.53            0.64        28.74     66.95   2120.83            4.05        5.07 Sugarcane                       75.28
111 46 149     6.95          27.99            0.87        30.29     52.98    451.66            6.70       12.32     Maize                       10.98
127 25  68     6.26          39.19            0.44        16.01     63.34    899.99           10.21        4.19 Sugarcane                       75.58
156 24 142     5.89          47.98            0.46        17.48     73.48   2681.05            4.10        4.78 Sugarcane                       77.30
104 53  54     8.02          17.23            0.62        37.90     86.59    667.99            4.71       12.29      Rice                        5.57
134 45 125     5.90          29.68            0.41        21.55     76.34    471.22            7.02       17.23     Maize                        7.36
 78 26  91     5.98          54.37            0.66        19.42     48.90    685.65           10.86       16.35     Maize                       10.72
108 94 128     7.76          39.21            1.04        30.87     70.31   2100.71           10.49        1.46      Rice                       12.22
122 52 144     5.24          62.59            1.27        24.04     84.97    399.07            8.10       17.68    Cotton                        6.97
 47 81  90     5.17          58.38            0.34        17.40     61.14   1382.04            5.77        7.20    Cotton                        7.77
125 80  58     5.76          32.20            1.08        22.28     35.74    528.44            8.49       10.42    Cotton                        5.33
 67 66 110     6.81          51.31            0.77        14.33     68.47   2017.88            6.26        6.87    Potato                       26.45
116 19  56     6.11          28.72            0.59        18.39     66.30    932.44            8.57       15.01      Rice                        8.52
117 25 100     6.87          23.76            0.34        22.55     38.07   2011.65            5.19       12.43 Sugarcane                       76.31
 79 39  42     5.34          59.05            0.72        25.54     44.37    738.17            8.21       15.91     Wheat                        8.66
 37 49  24     5.69          32.51            1.33        32.25     70.32   1290.59            8.84        4.61    Cotton                        8.77
163 49 129     6.72          25.17            0.99        21.55     88.42   2613.64            9.00       11.89 Sugarcane                       79.99
 98 36  37     5.54          63.25            1.31        26.37     40.43   1260.00           10.84       10.04    Cotton                        7.62
150 51  46     6.24          16.55            0.84        38.53     66.85    585.04            4.18       11.01     Wheat                       10.14
 93 69  43     6.75          33.34            1.40        34.55     58.43   1224.89            4.54        7.21 Sugarcane                       76.32
168 89  48     8.11          16.92            0.50        17.11     50.38   1436.53            8.24        1.11    Cotton                        4.89
150 86 142     5.07          40.21            1.37        16.40     84.85   1446.18            7.38       12.98      Rice                        8.20
 94 78 147     6.37          35.06            0.92        29.88     86.23   2073.08            8.40       13.14    Potato                       26.11
136 34 131     6.15          51.03            1.27        27.86     39.80    611.73            8.86       15.79    Cotton                        8.26
176 18 136     7.60          62.70            0.61        26.41     72.38   1453.91            4.24       17.36     Maize                       12.24
166 32  52     7.86          40.98            0.93        14.63     76.44    934.88            7.38        4.38      Rice                        9.94
129 65  61     7.88          29.27            1.25        20.88     85.40   1411.27            7.48        2.16      Rice                        9.66
111 82 144     6.08          58.61            0.93        32.78     34.39    732.62            8.35       14.34     Wheat                        9.65
172 34  23     5.84          45.23            0.90        31.71     85.92    888.66            6.51       15.94 Sugarcane                       73.21
 80 23  39     6.33          42.67            1.35        14.96     44.78   1682.11            4.48        3.91     Wheat                       10.34
170 94  87     5.97          24.43            0.51        22.81     81.49   1053.20            6.26        2.85      Rice                        8.27
112 40  77     7.24          17.03            0.92        23.28     79.69    699.02            5.52       15.43     Wheat                        6.88
141 39  99     5.53          38.07            1.37        25.26     77.62   1849.07            9.50       17.62 Sugarcane                       76.01
 85 82 114     7.04          41.40            1.40        23.83     47.63   2391.17           10.16        7.93      Rice                       10.12
174 55  23     7.95          21.35            0.45        25.05     75.58   2353.50            5.22       16.38    Cotton                        9.09
 89 73  63     5.75          17.97            1.41        34.39     45.71   2385.26            8.27       14.11    Potato                       24.75
149 59 144     7.10          25.80            0.32        21.68     48.59    343.08            5.41        5.92    Potato                       23.88
167 55  61     5.29          18.15            1.41        26.56     79.03   2015.25            9.82        3.67     Wheat                        8.16
 52 52  48     5.21          17.81            0.64        28.20     65.06   2796.97            9.40        4.31      Rice                       10.46
178 33  63     5.19          37.21            1.05        38.27     48.08   2116.17            8.07        9.94    Potato                       24.79
 42 28  74     5.27          55.51            0.31        29.64     71.97    964.57            6.22        7.75      Rice                        6.48
130 35  99     5.53          48.20            1.25        13.92     81.46   1710.01           10.88       17.30    Cotton                        8.48
 53 29 132     6.71          48.97            0.86        27.47     63.46   1495.14            8.52        8.06     Maize                       11.22
137 17  40     7.41          28.12            1.40        29.86     43.12   1447.55            9.17        2.65     Wheat                        9.72
 40 51  97     5.23          15.56            1.02        10.29     64.78   2106.62           10.16        3.03 Sugarcane                       72.33
 46 60  49     7.76          37.53            1.39        12.26     65.13    617.16            9.77       16.40    Cotton                        3.38
 54 30  42     7.67          33.86            1.10        10.57     67.85    598.40            9.75        9.81    Cotton                        5.93
123 28  24     7.27          62.36            1.27        11.45     76.85   1566.17            5.78       17.07     Maize                        8.74
 50 23  82     6.25          18.60            1.27        12.69     88.85   2734.87            6.21       17.15    Potato                       24.97
113 21  78     4.81          53.82            0.62        38.73     36.60    453.84            6.75       17.37    Cotton                        3.72
169 28 101     7.30          34.27            1.05        16.20     41.50   1226.35           10.42       16.67     Wheat                        9.72
 66 20  71     7.79          56.48            1.44        16.14     78.90   1572.10            4.40       16.09 Sugarcane                       74.06
 71 99  84     5.94          39.75            1.44        35.72     61.74    303.14            5.81       11.55    Cotton                        6.25
174 29  58     7.24          56.03            0.80        32.58     74.74   1036.69            7.10       17.18    Potato                       25.57
130 66  22     5.01          38.34            0.72        30.27     54.96    577.10            9.01       14.52    Potato                       22.79
 77 86  90     7.21          35.09            1.15        22.65     80.33   2063.86            5.14       12.58      Rice                        8.21
132 48  34     5.03          63.19            1.31        10.94     55.27   1397.58            7.55       16.20      Rice                        8.85
 57 15  91     6.80          33.44            0.35        34.80     86.80   1856.62            6.35       14.75    Cotton                        6.26
 70 83  89     6.83          55.27            0.42        35.82     53.46   1806.05            5.51        7.48    Potato                       23.29
128 34  23     5.83          18.35            1.31        24.45     46.88   1194.40            4.43        5.76 Sugarcane                       71.87
 76 94 113     5.07          18.13            0.87        29.35     36.12    388.57            9.75        3.56     Maize                        8.66
175 21  53     8.03          36.91            1.17        24.33     80.91    969.28            8.79       17.16     Maize                        6.02
134 21 143     6.62          44.28            1.37        18.88     86.96   1502.89            5.97        2.46      Rice                       11.35
153 64  55     6.77          45.43            1.28        26.21     83.66    806.71            6.72       14.10     Wheat                        7.94
 42 16 118     6.89          16.82            1.35        30.66     75.60   2644.21            7.84        7.57 Sugarcane                       75.66
170 61  99     7.83          49.84            0.97        14.64     55.94   1334.04            6.25        8.93    Cotton                        9.46
129 28  85     5.00          21.50            0.51        25.92     48.48   1180.49            5.31        3.06    Potato                       23.03
 60 45 110     7.84          62.77            0.92        33.28     47.07    568.88            5.47        3.02     Maize                        8.06
159 64  99     5.61          31.68            1.55        24.27     75.57    990.36            9.95        6.97      Rice                        7.73
 45 75  78     5.07          28.07            0.70        14.71     50.69   1746.31            7.39       13.12     Wheat                        8.01
166 55  29     7.03          29.56            0.85        36.09     77.11   2349.07            7.30        5.56     Maize                       12.66
102 28  26     8.12          61.87            1.30        30.22     88.94   2233.57            6.71       12.84     Wheat                        8.17
 83 19 131     4.99          39.14            0.40        28.98     41.33   2012.74            9.06       17.94 Sugarcane                       75.32
129 89  95     6.25          36.73            1.28        29.55     36.85   2631.20            9.81        8.22    Potato                       26.59
138 19  31     6.60          43.29            0.66        17.35     37.17    907.56            9.04       16.90     Wheat                        8.66
116 78  98     5.66          61.54            0.65        24.77     33.54    886.87            7.39        2.35    Potato                       23.70
166 43  65     8.14          30.42            1.06        19.78     71.46    416.62            5.40        6.33     Wheat                        8.30
 37 89  51     6.98          24.04            0.63        35.01     65.58   2059.15            7.79       11.18      Rice                        9.83
 36 19 134     7.67          44.77            1.13        27.66     63.87   2302.79            9.08        4.65     Wheat                        9.37
 65 50 133     6.21          39.58            1.48        31.52     64.90    949.18            6.89        7.34    Potato                       24.44
 47 93 145     6.00          18.10            0.83        29.81     34.17   2276.74           10.94        8.67    Potato                       25.93
 32 33 109     6.68          41.10            1.53        24.51     47.48   2072.44           10.55       12.46 Sugarcane                       74.51
 57 78  80     6.28          43.12            1.52        34.15     45.95   1652.46           10.53        4.70      Rice                        9.46
 99 36  80     7.23          49.71            0.57        28.46     58.74   1683.68            8.16        7.00     Wheat                       10.45
178 48 121     5.70          64.78            0.86        16.80     82.74   2062.74            7.87       17.23      Rice                        9.14
 57 70 133     6.33          36.08            1.59        18.72     88.33   2795.39            7.74        5.53    Potato                       27.57
 83 31 111     7.84          40.51            0.47        34.81     66.72   1097.75            7.29       13.50     Wheat                        6.71
 94 90 148     7.37          18.75            0.92        38.24     44.81    481.72            5.13       15.81    Cotton                        3.84
129 70 126     5.37          56.58            0.86        26.44     52.84   2048.87           10.14       12.41     Maize                        9.70
 50 31  68     7.82          19.91            1.35        21.57     49.52    372.12            9.72       14.41      Rice                        7.19
 42 88  44     6.80          61.69            0.51        28.75     42.24   2537.12            9.20       17.73     Maize                       11.94
 86 96  35     7.11          32.43            0.59        24.51     88.71   2731.76            8.83        6.64    Cotton                       10.09
 78 32 127     5.80          31.88            0.53        35.25     37.89   2116.11            7.27        5.39      Rice                        8.18
147 59  63     6.30          31.43            0.52        34.99     63.99   1157.63           10.97        8.66     Maize                       10.61
 83 92 102     7.54          62.52            0.64        23.68     77.92    864.30            7.09       11.85 Sugarcane                       75.05
167 70  66     5.92          64.01            0.99        34.14     86.37    575.58            5.84        2.82     Maize                        8.25
 82 94 143     5.36          63.66            1.22        15.79     42.06    314.87            6.33        1.89    Potato                       25.17
 73 64  99     6.09          50.24            0.79        21.22     41.54   1376.10            9.01        3.34    Cotton                        9.33
 76 72  95     5.04          20.55            0.88        12.39     59.83   1917.78            6.11        3.84    Cotton                        5.92
 82 32  39     7.24          34.32            1.33        34.23     53.06   1240.90            8.68        1.67 Sugarcane                       73.27
103 94  31     5.30          29.47            0.98        39.26     44.96   1395.49            8.98       11.07      Rice                        8.68
 75 95 131     5.77          50.42            1.07        27.30     35.66   2013.07           10.33       10.87     Maize                       10.96
 42 21  79     7.80          39.63            0.97        32.99     51.88   1322.58            7.22        9.15    Cotton                        6.40
131 90  94     6.64          45.83            1.33        22.05     46.89   2233.54            7.43        3.22    Cotton                        9.95
 53 24 129     5.89          15.44            0.54        26.85     40.32   1905.86            4.48       17.09    Potato                       23.69
 31 83  53     6.66          54.14            1.58        20.42     52.09   1978.50            5.23       12.99    Cotton                        6.70
110 99  55     5.54          62.60            1.44        30.91     34.90   1848.28            5.77        2.72      Rice                       10.55
129 17  47     4.89          48.47            0.82        17.39     85.03    599.29           10.52       10.80     Maize                        8.05
171 97  58     6.85          57.60            0.84        14.60     65.94   2010.20            8.49        1.68    Potato                       25.48
167 58  96     7.23          38.91            1.40        36.96     58.75   1780.58           10.32        7.88     Wheat                        9.39
160 84 123     7.79          16.01            0.88        35.93     37.78   1735.66            6.19       14.74    Potato                       23.75
140 28 110     7.42          64.52            0.96        35.05     76.65   1795.95            6.31       10.03      Rice                        7.65
131 18 134     7.95          17.94            1.27        34.65     34.52   2767.69            7.49        2.63    Potato                       27.87
 46 32  21     8.15          24.64            0.80        31.89     89.11   1390.15            8.62       15.39     Wheat                        6.08
 41 66 136     7.33          17.62            0.89        36.24     80.56    565.17            5.03        2.27    Cotton                        5.40
145 52 101     7.75          46.25            0.35        16.31     58.26   1582.18            5.21        9.28     Maize                       11.72
 53 94 109     7.09          44.16            0.47        36.11     70.31    674.86            9.62        9.74    Potato                       22.59
 58 34  61     5.38          25.48            0.90        37.53     35.34   2315.89           10.04       14.15 Sugarcane                       75.32
151 58  50     5.42          62.83            0.36        31.48     59.31    924.06            4.05       17.76    Potato                       23.63
119 65  80     5.17          60.67            0.70        27.98     79.17   2789.16            8.97        7.78     Maize                       13.80
 94 33 121     8.01          28.99            0.87        17.08     34.69    743.99            6.51       11.89 Sugarcane                       72.70
113 82  75     7.09          47.94            0.43        35.98     43.02   1245.07            6.40        9.85     Maize                       11.79
148 80 102     7.49          57.76            0.38        27.30     76.64    665.40            7.90        2.36     Maize                       13.35
 45 27 147     5.93          32.99            0.32        28.32     57.50   1348.08            9.28       14.55     Wheat                        7.36
133 76  33     6.37          27.68            0.93        28.20     69.90   1510.14           10.50        9.89 Sugarcane                       75.27
121 75  33     4.94          27.81            0.49        36.00     79.09   2158.40            4.07       11.31 Sugarcane                       76.05
 56 44  69     7.82          56.02            1.20        14.11     38.73    303.48            5.86        6.75 Sugarcane                       74.75
163 44 120     7.70          38.15            0.94        11.85     58.11    877.01            6.71       16.55     Maize                        8.69
164 65  87     7.47          50.77            0.32        16.72     63.76    974.81            4.55       12.69     Wheat                        9.65
 62 62  90     5.00          47.52            0.38        24.75     66.90   1801.52            4.25        7.07    Potato                       24.83
 84 47  30     5.39          30.31            1.49        24.08     80.87    992.99           10.95        9.45     Wheat                        8.23
 36 88  33     5.94          25.40            0.46        25.36     58.58   1517.10            8.52        6.20     Maize                        9.98
 86 96 125     5.69          21.29            1.28        13.43     49.03   1519.44            5.88       11.86      Rice                       11.07
155 33 123     7.65          16.19            0.62        33.79     78.14   2326.12            6.63       14.75    Cotton                        7.90
 41 85 147     5.46          19.06            0.72        19.06     83.81   2489.74            8.95        6.83     Maize                       10.51
 45 71  27     6.61          27.81            0.33        37.40     51.52   2742.58            5.02       14.91      Rice                       10.26
 72 33  38     6.74          50.68            1.02        35.20     73.58   2401.99            6.97       16.76 Sugarcane                       78.33
146 93 131     6.25          22.75            0.91        11.90     42.71   2494.90           10.04        7.72     Maize                       11.67
164 55  77     5.62          41.17            1.27        11.61     35.40   2727.44            5.90        4.93    Cotton                       11.13
140 56  44     8.07          27.26            1.48        28.87     52.59   2368.57            5.21       17.04     Wheat                        6.47
 80 66  64     6.21          40.59            1.01        12.32     54.42    811.59           10.19        1.93    Cotton                        8.88
104 18 121     7.27          52.50            1.54        27.16     36.84   2280.91           10.65        9.22    Cotton                        8.60
 37 18  67     5.43          28.30            0.49        12.37     36.14   2073.85           10.16       14.25     Wheat                        8.62
 74 19  69     7.60          32.39            0.75        24.38     72.37   1689.65           10.46        1.78     Maize                        8.07
 88 55 100     5.53          51.15            1.38        22.57     73.13    736.24            6.85       11.89    Cotton                        4.62
161 75  63     7.10          42.32            1.02        27.73     34.35    420.04            7.28       15.26    Cotton                       10.18
133 89  78     6.52          19.73            1.01        20.69     60.41    842.87            8.34        6.07    Potato                       26.05
127 69 122     5.30          52.91            0.90        14.20     63.58   2492.36            4.41        6.28     Wheat                       11.00
108 89  97     4.88          28.87            0.32        35.26     59.92    974.06            8.77        1.57     Maize                       10.03
153 27  37     7.96          34.25            0.40        18.98     88.75   1417.45            7.80       10.37     Maize                       10.68
 33 28 135     5.23          27.26            0.42        12.02     57.46   2793.94           10.56        2.04 Sugarcane                       76.04
119 74 125     7.20          42.17            0.55        25.02     62.72   1573.73            7.81        1.04     Wheat                        7.72
133 86  30     7.02          50.39            0.42        36.33     48.61   2218.75           10.94        3.16      Rice                       11.29
166 39  81     5.96          55.16            0.44        18.42     45.14   2287.59           10.79        8.39     Maize                       12.70
148 96  67     5.43          61.11            1.13        23.52     79.14   2498.17            6.81       13.69      Rice                       12.01
162 58 113     5.41          32.96            0.45        22.08     85.68   1132.12            4.24       12.48 Sugarcane                       73.93
 85 96 106     6.79          61.63            0.90        11.45     49.31    681.32            9.65        6.31    Cotton                        7.13
125 24  69     6.66          45.85            0.38        36.05     80.86   2521.55            9.97        6.46    Cotton                       11.60
104 85  79     7.78          34.48            0.65        32.77     55.30   1823.92            7.87       12.18     Maize                       10.20
172 64  78     6.98          59.36            1.50        12.87     61.47   1789.57            9.13       13.02     Wheat                       11.27
 61 58  34     7.59          43.98            0.34        13.96     40.69   1724.50            7.34       13.29 Sugarcane                       73.87
 57 28  48     4.91          37.71            1.44        10.32     65.07    387.63            8.43        3.69 Sugarcane                       72.22
 51 29  59     7.08          15.58            1.29        39.57     87.16    921.88            7.59        2.11      Rice                        9.46
 46 30  50     5.59          50.88            1.50        22.49     33.03   1981.15            7.36        9.58      Rice                       11.05
 88 16  92     5.66          18.87            1.32        37.91     45.68    382.48            9.74        7.78 Sugarcane                       72.59
119 44  30     7.25          29.47            1.37        22.60     71.66   1816.87            5.26       16.80    Potato                       25.38
135 44 100     7.50          63.08            0.44        13.11     46.12    425.58            6.97        1.10 Sugarcane                       77.38
 55 96  81     6.06          22.76            1.39        20.30     52.08    321.19            8.72       14.75    Cotton                        4.68
 54 45  70     7.49          30.59            0.92        22.55     47.41   2529.29           10.90       17.86 Sugarcane                       72.83
167 91  76     6.31          61.62            0.76        15.30     88.05   2577.37            8.00       15.46    Cotton                       11.62
 74 34  43     7.72          31.88            0.50        11.61     59.23   1025.17            7.85       14.85      Rice                        6.88
112 63  60     4.88          31.43            0.30        19.50     38.03   2462.31            7.56        1.38 Sugarcane                       74.97
 40 49  68     5.08          47.40            1.14        26.18     37.34    487.30            4.36       15.71     Maize                        6.46
133 37  55     7.44          21.57            1.24        17.66     48.62   1328.97            8.56       10.93     Wheat                        9.64
 97 75  29     6.92          63.64            0.80        38.76     54.06   1491.11           10.75       12.12    Cotton                       10.44
124 98  97     6.70          28.75            0.51        24.44     47.33   1321.37            9.06        7.75 Sugarcane                       76.57
 94 69 105     6.89          54.28            0.49        13.91     63.03   1170.94            6.24       17.05     Wheat                        8.11
 78 81  79     7.96          29.38            0.52        22.40     82.31   1828.30            8.60        9.89      Rice                        8.18
 81 22 115     7.03          28.77            0.37        31.23     77.29   1990.70            7.53       11.50     Maize                       11.17
131 54  27     7.00          17.88            0.77        24.61     64.74   2696.18            8.67        4.55 Sugarcane                       74.89
 86 73 126     7.38          20.97            1.10        19.94     73.45    616.64           10.98       10.49 Sugarcane                       72.39
 76 46  77     7.75          41.10            0.88        13.19     69.75   2550.98            8.27        4.75    Potato                       28.09
 55 21 100     5.69          43.84            0.46        23.79     33.96   2293.44            4.13        2.95      Rice                       11.22
143 16 105     6.90          55.79            1.36        12.92     68.08   1006.84            5.78        9.76      Rice                       10.39
 34 99  53     6.79          18.01            0.67        21.13     82.32    800.64            6.96       15.38    Potato                       21.83
113 20 103     5.26          32.81            1.08        13.49     79.80    591.25            4.49       15.92    Potato                       21.88
 81 50 136     6.57          25.01            0.62        30.28     58.20   1359.31            7.24       16.93    Cotton                        7.91
134 46  41     5.04          32.89            1.07        33.18     49.55   1675.34            7.16       16.92 Sugarcane                       72.71
 83 59  34     5.43          32.72            0.47        17.30     52.67   1724.43           10.14       17.47 Sugarcane                       72.42
 44 56 121     7.90          32.71            1.15        12.24     63.95   1341.88            6.02       13.27    Potato                       23.63
 90 67  24     5.21          30.48            1.05        20.41     54.58   2013.38            6.85        2.90    Potato                       25.20
151 23  42     6.77          53.20            0.98        26.82     50.91   2069.62            5.65       11.50     Maize                        9.96
 50 89 102     5.90          49.49            0.58        33.04     37.12   1587.57            9.60       11.35    Cotton                        9.17
 75 89  33     6.69          32.07            0.99        22.09     36.37   1679.24            9.54        2.82     Maize                       10.27
163 63  29     5.60          22.32            1.47        20.98     31.76    787.24           10.61       12.95    Cotton                        6.00
 67 16  50     6.31          40.91            0.46        37.25     89.63   1684.86            9.82        8.04 Sugarcane                       75.79
 91 81 146     7.75          60.94            1.21        23.49     51.76    488.20            9.65        2.19    Cotton                       10.29
115 25  56     6.08          21.18            0.45        23.42     34.36   1726.69            5.65       16.90 Sugarcane                       76.41
107 64  50     6.00          52.65            0.74        22.30     64.06   1907.20            8.78        4.26    Potato                       25.21
 75 49 118     6.32          44.97            1.19        20.90     70.50   2754.47            4.29        3.11     Wheat                       10.09
170 29  54     5.14          44.43            1.03        31.85     70.85   1362.43            4.16        4.45     Wheat                        8.26
 32 89 130     6.12          61.73            1.18        18.45     88.16   1539.30            6.13       13.99    Cotton                        7.14
 35 45  87     4.82          62.80            1.55        21.36     42.79   1430.40           10.08       14.11      Rice                        9.37
122 76 136     6.51          27.19            1.56        18.47     83.68    949.46            5.93        2.46     Wheat                        9.15
 37 42 145     7.68          55.42            1.49        27.11     84.37    535.87           10.50        9.72    Potato                       24.82
137 39  25     6.68          46.04            0.94        38.81     57.47   1901.49            5.54       12.73 Sugarcane                       76.87
104 98 138     6.87          35.44            0.74        21.71     87.17    480.26            4.33       12.61    Cotton                        6.16
106 39  49     4.90          48.28            0.66        39.05     42.11   1375.16            8.16       12.41 Sugarcane                       74.79
 79 89  88     7.72          62.80            1.05        29.70     50.37    327.54            9.72        8.21     Wheat                        9.20
 40 97 127     6.11          40.84            0.89        33.86     75.56   2651.30            7.99        7.96     Wheat                        9.48
124 15  54     8.11          62.00            1.59        19.99     86.71   2043.61            7.54       16.63 Sugarcane                       75.78
 99 73 122     5.21          47.14            1.00        16.73     34.67    857.84            7.07       17.21      Rice                        7.73
 45 83  63     8.01          39.15            0.73        27.30     70.36    990.39            9.01        4.00    Cotton                        8.14
 97 88  48     6.96          47.21            1.13        39.72     86.59   1105.61           10.76       17.92     Maize                        8.79
128 56  25     4.98          45.13            0.36        31.31     36.18   1597.70            6.20        3.34     Maize                        9.96
 77 48  46     8.10          36.08            0.44        30.45     40.98   1879.46            6.40       14.37 Sugarcane                       74.09
 93 80  47     4.85          43.12            1.16        23.50     70.64    491.47            4.47        2.77     Wheat                        6.33
119 32  75     7.28          50.16            0.46        36.38     67.93   1950.87            5.16       11.61     Maize                        9.38
105 91 131     7.82          56.94            1.28        30.91     47.91    486.09            7.68       10.42 Sugarcane                       75.59
168 19  73     5.40          30.22            0.38        30.25     86.19   2584.73            6.21       17.98    Cotton                        9.86
130 34  99     5.97          15.73            1.07        18.78     53.20   1543.30            9.74        9.81    Cotton                        6.17
118 80 124     6.71          42.56            1.18        38.73     50.48   2634.19            8.36       11.77    Potato                       27.10
 47 89  37     7.11          39.46            1.31        17.51     80.47   1906.07            9.12       13.25    Cotton                        8.01
 48 76  62     7.76          17.71            1.45        25.71     63.70   1302.99            7.09       13.33    Potato                       24.60
 84 46 108     7.39          46.63            0.71        20.19     56.52   2257.07            4.70       11.84    Potato                       24.65
131 72  93     6.04          62.07            1.23        15.42     62.69    470.20            7.94       14.34      Rice                       11.78
147 64  29     7.59          35.11            0.40        14.32     73.02   1767.57            5.81       13.45    Cotton                        9.07
163 52 108     8.08          59.72            1.38        18.79     35.00    944.18            7.66        7.26     Wheat                        9.71
 33 69  53     5.57          55.66            1.46        30.67     50.02   2406.82            4.78        3.06    Cotton                        9.14
137 42 102     5.05          23.09            1.27        39.24     81.63   2526.57            9.45       16.35      Rice                        6.91
144 88 117     6.25          54.36            0.67        35.60     73.95   1763.67            6.80        1.17 Sugarcane                       75.39
 58 95  50     7.80          40.84            0.38        16.54     34.42    952.19            8.66        4.46     Maize                        8.57
 88 36  99     5.31          60.93            0.85        12.35     57.62   1272.43            7.45       10.35      Rice                       12.18
154 57  79     7.81          24.47            0.65        30.60     48.48   1851.22            7.27       14.39 Sugarcane                       73.77
127 97  21     8.17          21.25            0.99        10.90     77.58   1363.12            6.67        4.63    Potato                       24.31
 46 95  55     4.98          27.06            0.81        35.77     38.63   2242.74            7.38       11.79     Maize                        7.82
136 50 144     6.48          17.98            0.48        34.77     38.69   1222.34            8.29        7.43    Cotton                        7.68
 72 66 122     5.92          31.00            1.39        33.81     74.50   1563.69            5.57        1.06 Sugarcane                       75.42
109 50 135     6.14          29.15            1.42        26.57     89.23    772.56            9.00       13.16     Maize                        7.16
 37 42 120     6.34          35.81            1.36        39.21     53.40   2044.49            7.40       11.62    Cotton                        6.76
170 92  65     7.31          38.15            0.57        23.75     81.81   2463.06            8.32        1.94     Wheat                        7.12
135 72  99     6.81          22.24            0.86        39.60     53.89   1216.56            7.31       15.78     Wheat                       11.00
 37 50 126     8.07          45.97            0.52        36.46     69.41   2686.79            5.15        3.89     Maize                       13.18
125 84  63     5.93          26.18            1.16        13.80     59.20    395.98            6.29       14.67     Wheat                        6.40
123 23  68     6.64          21.10            1.35        36.85     74.59    850.86            6.38        7.84     Wheat                        5.91
 94 35 107     7.57          50.44            1.06        19.15     33.43   1331.14            6.84        4.71    Cotton                        6.44
 68 78  77     6.07          16.14            1.01        33.05     62.97   1361.13            6.23       10.95    Cotton                        5.80
110 90 110     6.38          33.42            1.23        10.01     89.90   2283.50            8.72        8.67 Sugarcane                       75.69
113 75 113     7.13          22.22            0.45        18.28     75.10   2517.96           10.96       16.31     Wheat                       11.38
117 54  97     7.73          59.14            0.62        32.75     43.81   1057.69            8.94       11.95     Maize                        8.97
115 70 141     6.21          56.22            0.71        39.17     48.34   1896.89           10.71       14.95     Wheat                        7.04
122 18  95     6.61          18.03            0.99        15.13     71.35   1679.07            9.17        1.72      Rice                        7.87
115 45  72     8.12          42.52            1.57        23.78     38.93    743.77            8.11        9.08 Sugarcane                       74.62
 73 41  42     4.94          29.77            1.42        27.62     30.43   1115.09            8.94        6.53      Rice                        7.73
166 72  96     6.32          24.63            0.62        38.58     76.37    349.44            9.72        3.72    Cotton                        9.80
103 39  92     6.96          30.58            0.60        23.60     65.97   1059.51            9.84       17.56    Cotton                        5.66
 65 83 107     4.83          55.79            0.87        38.01     70.37    563.69            4.90       12.73     Wheat                        7.70
130 84 122     6.83          17.89            1.57        39.35     31.33   2545.95            8.38        6.25    Potato                       26.40
133 19 113     4.99          47.41            0.50        38.25     52.72   2547.28            5.12        8.33     Maize                       11.27
 95 22  79     7.72          60.67            1.54        32.46     61.91   2000.50            9.11        9.77    Potato                       22.71
 84 23  29     7.54          37.40            0.55        13.79     71.87   2782.06            4.04        1.26     Wheat                        9.25
120 29 121     4.91          60.08            1.45        28.07     80.67   1749.71            8.49       14.16      Rice                        8.73
 51 21  77     4.97          60.34            1.38        32.61     47.19    801.21            4.34       14.73    Cotton                        6.90
130 86  28     7.36          45.48            1.45        38.65     84.42   2511.69           10.31       13.35      Rice                       11.02
150 29  32     6.06          37.79            1.46        33.34     70.33    820.99            9.21        7.41     Maize                       10.27
122 51  92     6.76          51.88            0.58        26.17     53.91    967.44           10.45        2.69     Wheat                        8.29
137 97 135     5.72          60.81            1.31        16.15     69.71   1946.82            7.40        1.08      Rice                       11.52
170 53 144     5.39          49.00            1.19        23.71     69.67    624.00            4.02        8.42     Wheat                        8.42
 39 20 130     5.81          25.48            1.44        29.15     42.82   1824.53           10.54       17.14      Rice                        8.89
